
 "candidate_name","category_name","district","machine","votes",
"Alieta Eck","Representative 12th dist","7","2","44",
"Alieta Eck","Representative 12th dist","10","3","99",
"Alieta Eck","Representative 12th dist","11","3","8",
"Alieta Eck","Representative 12th dist","1","1","6",
"Allen J. Cannon","Representative 12th dist","1","1","1",
"Bonnie Watson Coleman","Representative 12th dist","7","2","5",
"Bonnie Watson Coleman","Representative 12th dist","10","3","5",
"Bonnie Watson Coleman","Representative 12th dist","11","3","66",
"Bonnie Watson Coleman","Representative 12th dist","1","1","5",
"Jack Freudenheim","Representative 12th dist","1","1","1",
"Corey Booker","U.S. Senate","7","2","3",
"Corey Booker","U.S. Senate","10","3","6",
"Corey Booker","U.S. Senate","11","3","17",
"Corey Booker","U.S. Senate","1","1","3",
"Corey Booker","U.S. Senate","6","1","6",
"Eugene Martin Lavergne","U.S. Senate","1","1","0",
"Hank Schroeder","U.S. Senate","1","1","0",
"Jeff Bell","U.S. Senate","7","2","33",
"Jeff Bell","U.S. Senate","10","3","77",
"Jeff Bell","U.S. Senate","11","3","5",
"Jeff Bell","U.S. Senate","1","1","1",
"Jeff Bell","U.S. Senate","6","1","8",
