District	Machine	Count	Name	Type	Election
D1	M1	67 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D1	M2	142 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D1	M3	78 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D2	M1	83 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D2	M2	78 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D3	M1	71 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D3	M2	98 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D4	M1	84 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D4	M2	91 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D5	M1	118 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D5	M2	53 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D6	M1	126 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D6	M2	89 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D7	M1	85 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D7	M2	76 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D8	M1	46 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D8	M2	185 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D9	M1	126 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D9	M2	143 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D10	M1	87 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D10	M2	83 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D11	M1	91 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D11	M2	126 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D11	M3	174 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D12	M1	125 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D12	M2	84 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D13	M1	257 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D13	M2	175 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D14	M1	129 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D14	M2	98 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D15	M1	98 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D15	M2	117 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D16	M1	108 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D16	M2	139 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D17	M1	136 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D17	M2	54 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D18	M1	133 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D18	M2	103 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D19	M1	134 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D19	M2	56 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D20	M1	86 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D20	M2	172 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D21	M1	95 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D21	M2	104 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D22	M1	143 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D22	M2	80 	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
Mail In	Mail In	566	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
Prov	Prov	43	Cory Booker	U.S. Senate	Princeton - ELECTION - November 4, 2014
D1	M1	26	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D1	M2	42	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D1	M3	38	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D2	M1	48	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D2	M2	37	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D3	M1	53	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D3	M2	52	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D4	M1	48	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D4	M2	43	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D5	M1	45	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D5	M2	20	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D6	M1	49	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D6	M2	18	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D7	M1	11	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D7	M2	10	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D8	M1	4	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D8	M2	18	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D9	M1	9	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D9	M2	8	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D10	M1	27	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D10	M2	14	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D11	M1	26	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D11	M2	134	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D11	M3	34	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D12	M1	19	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D12	M2	83	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D13	M1	38	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D13	M2	42	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D14	M1	32	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D14	M2	22	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D15	M1	28	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D15	M2	35	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D16	M1	22	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
D16	M2	28	Jeff Bell	U.S. Senate	Princeton - ELECTION - November 4, 2014
